"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","order","seasonal_order","mape","data"
"2025-02-04 15:40:25","33.3s","ef6d367f1389400989cf74fe083764e8","enthused-fox-340","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.19732673879766632","Sales"
"2025-02-04 01:38:59","6.3s","e460ef1e81384cf5b086d1d6c2d74167","welcoming-tern-733","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.20963800851453143","R4"
"2025-02-04 01:38:53","5.8s","853a7ce6905e4a608170f2c656c7823e","languid-fowl-303","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.21224975436566182","R3"
"2025-02-04 01:38:47","5.7s","9fb9fb2f7631403b99f25b66b3cbb83f","delicate-pig-588","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.18781810801418258","R2"
"2025-02-04 01:38:41","6.0s","d3a9ffd7209449b5b28f86f1e7600213","masked-foal-587","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.1940061763750973","R1"
"2025-02-04 01:38:34","7.3s","178904b5a9c8447da9a22df1faf4adfa","glamorous-ape-567","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.2212630072383373","L5"
"2025-02-04 01:38:27","6.7s","d115b7c9548149fab4d4415693b256e5","ambitious-calf-562","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.21796904446358176","L4"
"2025-02-04 01:38:20","7.3s","8b9d1df21e414c938f749c3fdb26fb92","unleashed-wolf-706","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.1995774888423478","L3"
"2025-02-04 01:38:14","6.1s","4b0e7e95c00749389d9fd723ed6e967f","crawling-dog-490","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.19532330938868595","L2"
"2025-02-04 01:38:06","7.6s","628b6c547a0c4a738ad6b8e8b38a9998","resilient-rook-210","LOCAL","c:\Users\thumm\AppData\Local\Programs\Python\Python313\Lib\site-packages\ipykernel_launcher.py","thumm","FINISHED","(1, 1, 1)","(1, 0, 1, 7)","0.19885202065010196","L1"
